usia_norm,kelas_norm,bmi_norm,kesepian_norm,khawatir_insomnia_norm,diserang_fisik_norm,perkelahian_fisik_norm,hari_dibully_norm,hari_merokok_norm,hari_minum_alkohol_norm,frek_mabuk_norm,mh_risk_score_norm,behavior_risk_score_norm,gender_bin,jenjang_bin,bmi_encoded,flag_perokok_bin,flag_alkohol_bin,flag_narkoba_bin,flag_dibully_bin,flag_diserang_bin,flag_aktif_fisik_bin,target
0.14285714285714285,0.0,0.3977977821842624,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0
0.0,0.0,0.16728942238517175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0
0.14285714285714285,0.0,0.34368370805952586,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0,0
0.42857142857142855,0.2,0.27170450837401805,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
0.2857142857142857,0.2,0.10838208476404942,0.5,0.5,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.2,0.11424050189796509,0.0,0.0,0.14285714285714285,0.2857142857142857,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,0,0,0,0,1,1,0,0
0.2857142857142857,0.2,0.12629712610922622,0.75,0.5,0.14285714285714285,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.0,0,0,0,0,0,0,1,1,0,0
0.2857142857142857,0.2,0.15016798783893526,0.5,0.25,0.0,0.14285714285714285,0.33333333333333337,0.0,0.0,0.0,0.16666666666666666,0.0,0,0,1,0,0,0,1,0,0,0
0.2857142857142857,0.2,0.15335024634922945,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1,0,1,0,0,0,0,0,1,1
0.14285714285714285,0.2,0.18887113188305338,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
0.14285714285714285,0.2,0.3942572378802607,0.0,0.5,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0
0.42857142857142855,0.2,0.10451494543776352,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0
0.42857142857142855,0.2,0.1823546909381225,0.5,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.16666666666666666,0.0,1,1,1,0,0,0,1,0,0,0
0.42857142857142855,0.2,0.05991336391743424,0.25,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.16666666666666666,0.0,0,1,0,0,0,0,1,0,0,0
0.42857142857142855,0.2,0.13744294031489657,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0
0.14285714285714285,0.2,0.3623054122793816,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0,0
0.42857142857142855,0.2,0.2827564930213242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0
0.2857142857142857,0.2,0.14912260234799402,0.25,0.5,0.2857142857142857,0.0,0.9999999999999999,0.0,0.0,0.0,0.3333333333333333,0.0,1,0,1,0,0,0,1,1,0,0
0.42857142857142855,0.0,0.16359392267556927,0.5,0.75,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1,1,1,0,0,0,0,0,0,1
0.2857142857142857,0.2,0.3167408689241492,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,1,0,1,0,0,0,1,0,0,0
0.14285714285714285,0.2,0.07380827928560485,0.5,0.5,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0,0,0,0,0,0,0,1,0,0
0.42857142857142855,0.2,0.17275719678711676,0.5,0.25,0.42857142857142855,0.2857142857142857,0.33333333333333337,0.33333333333333337,0.0,0.0,0.5,0.0,0,1,1,0,0,0,1,1,0,1
0.2857142857142857,0.2,0.08601672661303661,0.25,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0,0,0,0,0,0,0,1,0,0
0.2857142857142857,0.2,0.5600171513472266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0
0.14285714285714285,0.2,0.2379738135425119,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0
0.14285714285714285,0.2,0.24142711784215898,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0
0.2857142857142857,0.2,0.4732683008786459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0
0.2857142857142857,0.4000000000000001,0.16874910414121957,0.5,0.0,0.2857142857142857,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0,0,1,0,0,0,1,1,1,0
0.5714285714285714,0.2,0.09536518883431627,0.0,0.5,0.42857142857142855,0.2857142857142857,0.33333333333333337,0.0,0.0,0.0,0.3333333333333333,0.0,0,1,0,0,0,0,1,1,1,0
0.42857142857142855,0.4000000000000001,0.10992101390752135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
0.42857142857142855,0.4000000000000001,0.10992101390752135,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
0.42857142857142855,0.4000000000000001,0.28233852498861167,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0
0.42857142857142855,0.0,0.1911695401131337,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0
0.2857142857142857,0.4000000000000001,0.15016798783893526,0.5,0.5,1.0,0.14285714285714285,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0,0,1,0,0,0,0,1,1,0
0.42857142857142855,0.4000000000000001,0.07619409347378892,0.5,0.5,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0,1,0,0,0,0,0,1,0,0
0.42857142857142855,0.4000000000000001,0.1502637284549999,0.5,0.0,0.8571428571428572,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0,1,1,0,0,0,0,1,1,0
0.42857142857142855,0.4000000000000001,0.18457531571792718,0.75,0.75,0.42857142857142855,0.2857142857142857,0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,0.0,0,1,1,0,0,0,1,1,0,0
0.42857142857142855,0.4000000000000001,0.34225852500317877,0.5,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1,1,2,0,0,0,0,1,0,1
0.42857142857142855,0.4000000000000001,0.3891208453271473,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0
0.42857142857142855,0.4000000000000001,0.16874910414121957,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1,1,1,0,0,0,0,0,0,1
0.42857142857142855,0.4000000000000001,0.03799261701280854,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
0.2857142857142857,0.4000000000000001,0.059422240875203924,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0,0,0,0,0,0,0,1,1,0
0.2857142857142857,0.4000000000000001,0.2692553151003767,1.0,1.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.6666666666666666,0.0,1,0,1,0,0,0,1,0,0,1
0.2857142857142857,0.4000000000000001,0.11129864859044775,0.5,0.5,0.14285714285714285,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,1,0,0,0,0,0,1,1,0,0
0.2857142857142857,0.4000000000000001,0.23698931258744804,0.5,0.5,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1,0,1,0,0,0,0,1,0,0
0.5714285714285714,0.4000000000000001,0.32929256780181326,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,0,0,0,0,0,0,0
0.42857142857142855,0.4000000000000001,0.22365240121181662,0.5,0.5,0.14285714285714285,0.14285714285714285,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333,0,1,1,1,0,0,0,1,1,0
0.2857142857142857,0.4000000000000001,0.16359392267556927,0.5,0.5,0.0,0.14285714285714285,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
0.5714285714285714,0.4000000000000001,0.365882532856319,0.75,0.5,0.5714285714285714,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0,1,2,0,0,0,0,1,0,0
0.5714285714285714,0.4000000000000001,0.2774918540651582,0.5,0.5,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0,1,1,0,0,0,0,1,0,0
0.42857142857142855,0.4000000000000001,0.32916929167169573,0.0,0.5,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0,1,2,0,0,0,0,1,0,0
0.42857142857142855,0.4000000000000001,0.09307368312496395,0.0,0.5,0.42857142857142855,0.2857142857142857,0.16666666666666666,0.9999999999999999,0.0,0.0,0.3333333333333333,0.0,0,1,0,0,0,0,1,1,0,0
